product_id,name,price,original_price,discount,rating,review_count,sold_count,brand,category
270975124,Điện Thoại Oppo A58 6GB/128GB - Hàng Chính Hãng,3890000,4990000,22,5.0,148,28342,OPPO,1789
277007015,Điện thoại Xiaomi Redmi Note 14 6GB/128GB - Hàng Chính Hãng,3850000,4990000,23,5.0,63,6450,Xiaomi,1789
276109904,Apple iPhone 16 Pro Max,29990000,34990000,14,5.0,138,1240,Apple,1789
184059211,Apple iPhone 13,11990000,20000000,40,5.0,2056,6832,Apple,1789
274101262,Máy Tính Bảng Samsung Galaxy Tab A9 Plus Wifi 4GB/64GB - Đã Kích Hoạt Bảo Hành Điện Tử - Hàng Chính Hãng,3590000,5990000,40,4.8,103,437,Samsung,1789
252586291,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng chính hãng,3590000,3590000,0,5.0,106,139,Kindle,1789
274101255,Máy Tính Bảng Samsung Galaxy Tab A9 Wifi 4GB/64GB - Đã Kích Hoạt Bảo Hành Điện Tử - Hàng Chính Hãng,2390000,3490000,32,4.8,145,711,Samsung,1789
277930407,Điện thoại Tecno Spark GO 1 (3GB/64GB) - Hàng Chính Hãng,2190000,2190000,0,5.0,3,72,Tecno,1789
278000720,Điện thoại HONOR X5b Plus 4GB/128GB - Hàng chính hãng,1950000,2990000,35,5.0,5,19,Honor,1789
164318603,Điện thoại bàn Panasonic KX-TGF310 hàng chính hãng,2350000,2350000,0,5.0,6,37,Panasonic,1789
277063012,"Điện thoại Samsung Galaxy S25, Điện thoại AI, Tìm kiếm thông minh, Video camera đêm Nightography, Chip Snapdragon - Đã kích hoạt bảo hành điện tử - Hàng Chính Hãng",16490000,22990000,28,5.0,3,15,Samsung,1789
125182567,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu,3990000,3990000,0,5.0,409,1582,Kindle,1789
277360579,Điện Thoại Xiaomi Redmi 13 8GB/128GB - Hàng Chính Hãng,3199000,4690000,32,5.0,1,9,Xiaomi,1789
276944892,Điện Thoại Samsung Galaxy A06 4GB/64GB - Hàng Chính Hãng,2189000,3190000,31,4.8,4,13,Samsung,1789
181927774,Điện thoại bàn Panasonic KX-TGD310 hàng chính hãng,1190000,1190000,0,4.8,8,30,Panasonic,1789
277466537,Điện Thoại Samsung Galaxy A36 5G - Hàng Chính Hãng,6790000,9120000,26,5.0,11,1224,Samsung,1789
181452535,"Điện thoại Itel Magic X Pro 4G ,Kết nối WIFI,Chia sẻ WIFI cho máy khác - Hàng chính hãng",619000,790000,22,4.2,31,155,Itel,1789
275913708,Điện thoại Itel it8010 4G - Hàng Chính Hãng,299000,299000,0,4.7,3,28,Itel,1789
276274790,Điện Thoại Samsung Galaxy A06 4GB/128GB - Hàng Chính Hãng,2549000,3490000,27,5.0,4,12,Samsung,1789
274191773,"Điện thoại ZTE Libero 5G IV - 4GB/128GB Dimensity 700 , Kháng nước IP67 , Sạc nhanh 22,5W - Mới nguyên seal - Hàng nhập khẩu",2269000,2990000,24,4.8,4,13,Tecno,1789
11251951,Điện thoại bàn không dây Panasonic KX-TGB110-Hàng Chính Hãng,890000,890000,0,5.0,1,17,Panasonic,1789
276046675,Điện Thoại Oppo A3 6GB/128GB - Hàng Chính Hãng,3989000,4990000,20,0.0,0,1,OPPO,1789
277614251,Apple iPad Air M3 11-Inch Wi-Fi,13990000,16990000,18,5.0,5,30,Apple,1789
163914808,Điện thoại bàn Panasonic  KX-TS500MX-hàng chính hãng,320000,320000,0,5.0,139,985,Panasonic,1789
277465334,Điện Thoại Samsung Galaxy A56 5G - Hàng Chính Hãng,7990000,9810000,19,4.8,8,33,Samsung,1789
277175913,Điện Thoại Xiaomi Redmi Note 14 6GB/128GB - Hàng Chính Hãng,4169000,4990000,16,4.5,7,13,Xiaomi,1789
276539826,"Máy đọc sách New Kindle 2024, 16Gb Mới nguyên Seal - Hàng chính hãng",3590000,3590000,0,5.0,1,8,Kindle,1789
277619147,Máy tính bảng iPad Gen 11 (A16) WiFi,8490000,9990000,15,5.0,46,292,Apple,1789
276314708,Điện thoại Masstel izi 16 4G - Hàng chính hãng,609000,629000,3,5.0,2,3,Masstel,1789
230155305,Điện thoại Xiaomi Redmi Note 10 JE 5G 4GB/64GB - Màn 90HZ - Chống Nước IP68 - Hàng Nhập Khẩu - Bản quốc tế,2429000,3990000,39,4.7,62,167,Xiaomi,1789
277812880,Máy Tính Bảng Galaxy Tab S10 FE Wifi (8GB/128GB) - Hàng Chính Hãng,8890000,11990000,26,5.0,1,2,Samsung,1789
277811118,Điện Thoại Xiaomi Redmi Note 14 5G 8GB/256GB - Hàng Chính Hãng,6089000,7290000,16,0.0,0,1,Xiaomi,1789
277512611,Điện Thoại Samsung Galaxy A56 5G 8GB/128GB - Hàng Chính Hãng,9990000,9990000,0,5.0,1,2,Samsung,1789
277512620,Điện Thoại Samsung Galaxy A36 5G 8GB/128GB - Hàng Chính Hãng,6519000,8290000,21,5.0,3,8,Samsung,1789
276281988,Điện thoại Samsung Galaxy A06 - Hàng chính hãng,3160000,3190000,1,1.0,1,3,Samsung,1789
277311630,Điện Thoại Xiaomi Redmi 14C 6GB/128GB - Hàng Chính Hãng,2689000,3690000,27,5.0,1,16,Xiaomi,1789
277014407,"Điện thoại ZTE Blade A34 (4GB/64GB) Màn hình 6.6"", Pin 5000mAh - Hàng chính hãng",1699000,2190000,22,5.0,2,6,Tecno,1789
201067649,Combo máy đọc sách Kindle Paperwhite 5 (11th gen) tặng kèm bao da ( Cover ) - Hàng nhập khẩu,3590000,3590000,0,5.0,116,576,Kindle,1789
274405521,Điện Thoại Samsung Galaxy A05 4GB/64GB - Hàng Chính Hãng,2099000,2990000,30,3.8,4,34,Samsung,1789
274544634,"Điện thoại Redmi Note 12R 5G 6/128GB Snapdragon 4 Gen 2, Rom Quốc tế có sẳn Tiếng việt - Hàng nhập khẩu",3099000,3590000,14,5.0,9,28,Xiaomi,1789
276410628,"Điện thoại Realme V60 (6GB/128GB) 5G , Chíp Dimensity 6300, Rom tiếng việt - Hàng nhập khẩu",2799000,3999000,30,5.0,2,6,Realme,1789
181927736,Điện thoại bàn Panasonix KX-TGD312 hàng chính hãng,1850000,1850000,0,5.0,6,28,Panasonic,1789
204237269,Điện Thoại Bàn Panasonic KX-TSC11 - Hàng Chính Hãng - Trắng,620000,620000,0,5.0,51,292,Panasonic,1789
170727266,Điện thoại bàn Panasonic KX-TS560 hàng chính hãng,688000,688000,0,5.0,14,53,Panasonic,1789
164213695,Điện thoại bàn Panasonic KX-TGB110 hàng chính hãng,850000,850000,0,5.0,18,73,Panasonic,1789
277737629,Điện Thoại Xiaomi Redmi 13 6GB/128GB - Hàng Chính Hãng,2899000,4290000,32,5.0,3,2,Xiaomi,1789
277041250,Điện Thoại Xiaomi 14T Pro 5G 12GB/512GB - Hàng Chính Hãng,17990000,17990000,0,0.0,0,2,Xiaomi,1789
278219968,Điện thoại OPPO A3 8GB/128GB - Hàng Chính Hãng,4090000,5290000,23,4.7,6,2692,OPPO,1789
278219887,Điện thoại OPPO Reno13 F 5G 12GB/512GB - Hàng Chính Hãng,8250000,11990000,31,5.0,1,1,OPPO,1789
276448920,"Máy đọc sách Amazon Kindle Paperwhite 6 (Gen 12th), Mới nguyên Seal - Hàng chính hãng",4890000,4890000,0,5.0,3,20,Kindle,1789
273990229,Điện Thoại Xiaomi Redmi Note 13 6GB/128GB - Hàng Chính Hãng,3629000,4890000,26,4.8,6,18,Xiaomi,1789
277646748,Điện thoại Samsung Galaxy A06 5G (4GB/64GB) - Hàng chính hãng,2449000,3490000,30,5.0,1,2,Samsung,1789
276465090,"Combo Máy đọc sách Amazon Kindle Paperwhite 6 (Gen 12th) Kèm Bao Da, Mới nguyên Seal - Hàng chính hãng",4890000,4890000,0,0.0,0,4,Kindle,1789
274638659,"Điện Thoại Xiaomi Redmi Note 13 Pro 5G 8GB/128GB Snapdragon 7s Gen 2 , Màn OLED 120Hz, Rom Tiếng việt - Hàng nhập khẩu",4699000,5690000,17,4.5,25,66,Xiaomi,1789
